ID_Пользователя;ID_Преподавателя;Логин;ПарольХэш;Email;Роль_в_системе
1;1;ivanov_i;5f4dcc3b5aa765d61d8327deb882cf99;ivanov@guu.ru;Преподаватель
2;2;petrov_p;5f4dcc3b5aa765d61d8327deb882cf99;petrov@guu.ru;Преподаватель
3;3;sidorov_s;5f4dcc3b5aa765d61d8327deb882cf99;sidorov@guu.ru;Преподаватель
4;4;smirnova_a;5f4dcc3b5aa765d61d8327deb882cf99;smirnova@guu.ru;Преподаватель
5;5;vasilieva_v;5f4dcc3b5aa765d61d8327deb882cf99;vasilieva@guu.ru;Преподаватель
6;6;nikolaev_n;5f4dcc3b5aa765d61d8327deb882cf99;nikolaev@guu.ru;Преподаватель
7;7;kozlova_k;5f4dcc3b5aa765d61d8327deb882cf99;kozlova@guu.ru;Преподаватель
8;8;morozova_m;5f4dcc3b5aa765d61d8327deb882cf99;morozova@guu.ru;Преподаватель
9;9;sokolova_s;5f4dcc3b5aa765d61d8327deb882cf99;sokolova@guu.ru;Преподаватель
10;10;orlova_o;5f4dcc3b5aa765d61d8327deb882cf99;orlova@guu.ru;Преподаватель
11;11;belova_b;5f4dcc3b5aa765d61d8327deb882cf99;belova@guu.ru;Преподаватель
12;12;grishina_g;5f4dcc3b5aa765d61d8327deb882cf99;grishina@guu.ru;Преподаватель
13;13;trofimova_t;5f4dcc3b5aa765d61d8327deb882cf99;trofimova@guu.ru;Преподаватель
14;14;fedorova_f;5f4dcc3b5aa765d61d8327deb882cf99;fedorova@guu.ru;Преподаватель
15;15;egorova_e;5f4dcc3b5aa765d61d8327deb882cf99;egorova@guu.ru;Преподаватель
16;NULL;admin;5f4dcc3b5aa765d61d8327deb882cf99;admin@guu.ru;Администратор
17;NULL;student1;5f4dcc3b5aa765d61d8327deb882cf99;student1@guu.ru;Студент
18;NULL;student2;5f4dcc3b5aa765d61d8327deb882cf99;student2@guu.ru;Студент
19;NULL;student3;5f4dcc3b5aa765d61d8327deb882cf99;student3@guu.ru;Студент
20;NULL;student4;5f4dcc3b5aa765d61d8327deb882cf99;student4@guu.ru;Студент
