ID_Преподавателя;ID_Института;ID_Кафедры;ФИО;Email;Макс_Ч_В_День;Номер_Телефона;Пожелания (JSON)
1;1;1;Иванов Иван Иванович;ivanov@guu.ru;4;+7(495)123-45-67;"{""нежелательные_дни"": [""суббота""], ""предпочтительное_время"": [""9:00-15:00""], ""тип_занятий"": [""Л""]}"
2;1;2;Петров Петр Петрович;petrov@guu.ru;6;+7(495)234-56-78;"{""нежелательные_дни"": [""понедельник""], ""предпочтительные_аудитории"": [""ауд. 301"", ""ауд. 302""]}"
3;1;3;Сидоров Сергей Сергеевич;sidorov@guu.ru;4;+7(495)345-67-89;"{""нежелательные_дни"": [""вторник""], ""макс_пар_в_день"": 2}"
4;1;2;Смирнова Анна Викторовна;smirnova@guu.ru;4;+7(495)456-78-90;"{""предпочтения"": [""утренние_занятия""], ""нежелательное_время"": [""16:00-18:00""]}"
5;2;4;Васильева Вера Васильевна;vasilieva@guu.ru;4;+7(495)567-89-01;"{""нежелательные_дни"": [""среда""], ""требуется_проектор"": true}"
6;2;5;Николаев Николай Николаевич;nikolaev@guu.ru;4;+7(495)678-90-12;"{""пожелания"": [""без_окон""], ""предпочтительный_корпус"": ""Главный""}"
7;3;6;Козлова Ксения Константиновна;kozlova@guu.ru;6;+7(495)789-01-23;"{""нежелательные_дни"": [""четверг""], ""предпочтительное_время"": ""после_обеда""}"
8;3;7;Морозова Мария Михайловна;morozova@guu.ru;4;+7(495)890-12-34;"{""нежелательные_дни"": [""пятница""], ""комментарий"": ""только_лекции""}"
9;4;8;Соколова Светлана Сергеевна;sokolova@guu.ru;4;+7(495)901-23-45;"{""пожелания"": [""интерактивные_аудитории""], ""макс_нагрузка"": 4}"
10;4;9;Орлова Ольга Олеговна;orlova@guu.ru;4;+7(495)012-34-56;"{""нежелательные_дни"": [""вторник"", ""четверг""], ""предпочтения"": [""дистант""]}"
11;5;10;Белова Бэлла Борисовна;belova@guu.ru;6;+7(495)111-22-33;"{""нежелательные_дни"": [""суббота""], ""требуется_доска"": true}"
12;5;10;Гришина Галина Григорьевна;grishina@guu.ru;4;+7(495)222-33-44;"{""пожелания"": [""первая_смена""], ""предпочтительный_корпус"": ""Новый""}"
13;6;11;Трофимова Татьяна Тимуровна;trofimova@guu.ru;4;+7(495)333-44-55;"{""нежелательные_дни"": [""понедельник""], ""предпочтения"": [""практики""]}"
14;6;12;Федорова Фаина Федоровна;fedorova@guu.ru;4;+7(495)444-55-66;"{""нежелательные_дни"": [""среда""], ""предпочтительное_время"": ""утро""}"
15;7;14;Егорова Елена Евгеньевна;egorova@guu.ru;6;+7(495)555-66-77;"{""пожелания"": [""дистанционные_занятия""], ""макс_часов_в_неделю"": 12}"
